Task 2, from cli 0, frame is 0, time: 4.613111
Task 4, from cli 0, frame is 0, time: 5.983474
Task 6, from cli 0, frame is 0, time: 8.536501
Task 8, from cli 0, frame is 0, time: 12.057338
Task 10, from cli 0, frame is 0, time: 14.236292
Task 12, from cli 0, frame is 0, time: 16.788525
Task 14, from cli 0, frame is 0, time: 19.512476
Task 18, from cli 0, frame is 0, time: 22.162194
Task 20, from cli 0, frame is 0, time: 23.471279
Task 22, from cli 0, frame is 0, time: 25.200246
Task 24, from cli 0, frame is 0, time: 26.298390
Task 1, from cli 0, frame is 0, time: 26.769772
Task 3, from cli 0, frame is 0, time: 27.224886
Task 5, from cli 0, frame is 0, time: 27.686501
Task 7, from cli 0, frame is 0, time: 28.113740
Task 9, from cli 0, frame is 0, time: 28.491558
Task 11, from cli 0, frame is 0, time: 30.946336
Task 13, from cli 0, frame is 0, time: 31.375301
Task 15, from cli 0, frame is 0, time: 33.446968
Task 17, from cli 0, frame is 0, time: 35.921541
Task 19, from cli 0, frame is 0, time: 36.295518
Task 21, from cli 0, frame is 0, time: 38.002236
Task 23, from cli 0, frame is 0, time: 38.369682
Task 2, from cli 0, frame is 1, time: 47.877347
Task 4, from cli 0, frame is 1, time: 49.248761
Task 6, from cli 0, frame is 1, time: 51.756137
Task 8, from cli 0, frame is 1, time: 55.240593
Task 10, from cli 0, frame is 1, time: 57.505975
Task 12, from cli 0, frame is 1, time: 61.007111
Task 16, from cli 0, frame is 1, time: 63.568550
Task 18, from cli 0, frame is 1, time: 66.156316
Task 20, from cli 0, frame is 1, time: 67.546008
Task 22, from cli 0, frame is 1, time: 69.330694
Task 24, from cli 0, frame is 1, time: 70.463377
Task 1, from cli 0, frame is 1, time: 70.997507
Task 3, from cli 0, frame is 1, time: 71.525365
Task 5, from cli 0, frame is 1, time: 72.056263
Task 7, from cli 0, frame is 1, time: 72.578385
Task 9, from cli 0, frame is 1, time: 74.278386
Task 11, from cli 0, frame is 1, time: 74.773298
Task 13, from cli 0, frame is 1, time: 77.215754
Task 17, from cli 0, frame is 1, time: 77.726684
Task 19, from cli 0, frame is 1, time: 78.155784
Task 21, from cli 0, frame is 1, time: 78.574291
Task 23, from cli 0, frame is 1, time: 78.992144
Task 2, from cli 0, frame is 2, time: 82.757733
Task 4, from cli 0, frame is 2, time: 85.044751
Task 6, from cli 0, frame is 2, time: 87.583363
Task 8, from cli 0, frame is 2, time: 90.161867
Task 10, from cli 0, frame is 2, time: 93.308182
Task 12, from cli 0, frame is 2, time: 95.887986
Task 16, from cli 0, frame is 2, time: 99.359131
Task 18, from cli 0, frame is 2, time: 102.854117
Task 20, from cli 0, frame is 2, time: 104.214823
Task 22, from cli 0, frame is 2, time: 105.960726
Task 24, from cli 0, frame is 2, time: 107.081894
Task 1, from cli 0, frame is 2, time: 107.656136
Task 3, from cli 0, frame is 2, time: 108.197512
Task 5, from cli 0, frame is 2, time: 108.732662
Task 7, from cli 0, frame is 2, time: 109.225537
Task 9, from cli 0, frame is 2, time: 110.959127
Task 13, from cli 0, frame is 2, time: 111.461653
Task 15, from cli 0, frame is 2, time: 111.993549
Task 17, from cli 0, frame is 2, time: 112.487694
Task 19, from cli 0, frame is 2, time: 112.903221
Task 21, from cli 0, frame is 2, time: 113.322717
Task 23, from cli 0, frame is 2, time: 113.741853
Task 2, from cli 0, frame is 3, time: 127.483672
Task 4, from cli 0, frame is 3, time: 128.850841
Task 6, from cli 0, frame is 3, time: 131.372992
Task 8, from cli 0, frame is 3, time: 134.877253
Task 10, from cli 0, frame is 3, time: 137.947492
Task 12, from cli 0, frame is 3, time: 141.441376
Task 14, from cli 0, frame is 3, time: 143.252545
Task 18, from cli 0, frame is 3, time: 145.952093
Task 20, from cli 0, frame is 3, time: 147.348337
Task 22, from cli 0, frame is 3, time: 149.089640
Task 24, from cli 0, frame is 3, time: 150.234730
Task 1, from cli 0, frame is 3, time: 150.784017
Task 3, from cli 0, frame is 3, time: 151.316387
Task 5, from cli 0, frame is 3, time: 151.842153
Task 7, from cli 0, frame is 3, time: 152.347144
Task 9, from cli 0, frame is 3, time: 152.764969
Task 11, from cli 0, frame is 3, time: 155.236248
Task 13, from cli 0, frame is 3, time: 155.769216
Task 15, from cli 0, frame is 3, time: 157.913907
Task 17, from cli 0, frame is 3, time: 160.366973
Task 19, from cli 0, frame is 3, time: 160.787060
Task 21, from cli 0, frame is 3, time: 162.489423
Task 23, from cli 0, frame is 3, time: 163.060937
