Task 2, from cli 0, frame is 0, time: 4.508206
Task 6, from cli 0, frame is 0, time: 6.959359
Task 8, from cli 0, frame is 0, time: 10.448159
Task 10, from cli 0, frame is 0, time: 13.507527
Task 12, from cli 0, frame is 0, time: 17.004289
Task 16, from cli 0, frame is 0, time: 20.475213
Task 20, from cli 0, frame is 0, time: 22.762759
Task 22, from cli 0, frame is 0, time: 25.451472
Task 24, from cli 0, frame is 0, time: 27.546885
Task 1, from cli 0, frame is 0, time: 28.926300
Task 5, from cli 0, frame is 0, time: 30.297354
Task 7, from cli 0, frame is 0, time: 31.635424
Task 9, from cli 0, frame is 0, time: 32.938639
Task 11, from cli 0, frame is 0, time: 33.245961
Task 15, from cli 0, frame is 0, time: 34.647359
Task 17, from cli 0, frame is 0, time: 37.058003
Task 19, from cli 0, frame is 0, time: 39.724417
Task 21, from cli 0, frame is 0, time: 39.990574
Task 23, from cli 0, frame is 0, time: 42.634257
Task 2, from cli 0, frame is 1, time: 45.857718
Task 4, from cli 0, frame is 1, time: 47.128491
Task 6, from cli 0, frame is 1, time: 49.563970
Task 8, from cli 0, frame is 1, time: 53.023231
Task 10, from cli 0, frame is 1, time: 56.064945
Task 12, from cli 0, frame is 1, time: 59.649664
Task 18, from cli 0, frame is 1, time: 63.334792
Task 20, from cli 0, frame is 1, time: 65.625476
Task 22, from cli 0, frame is 1, time: 68.319753
Task 24, from cli 0, frame is 1, time: 70.360685
Task 1, from cli 0, frame is 1, time: 71.742545
Task 3, from cli 0, frame is 1, time: 72.088177
Task 7, from cli 0, frame is 1, time: 73.433417
Task 9, from cli 0, frame is 1, time: 74.741148
Task 11, from cli 0, frame is 1, time: 77.164793
Task 15, from cli 0, frame is 1, time: 80.189454
Task 19, from cli 0, frame is 1, time: 81.486763
Task 21, from cli 0, frame is 1, time: 84.109535
Task 2, from cli 0, frame is 2, time: 88.472754
Task 4, from cli 0, frame is 2, time: 90.741595
Task 6, from cli 0, frame is 2, time: 94.224535
Task 8, from cli 0, frame is 2, time: 97.862116
Task 10, from cli 0, frame is 2, time: 100.961851
Task 14, from cli 0, frame is 2, time: 103.878471
Task 18, from cli 0, frame is 2, time: 107.577551
Task 20, from cli 0, frame is 2, time: 109.857958
Task 22, from cli 0, frame is 2, time: 112.550279
Task 24, from cli 0, frame is 2, time: 113.587968
Task 1, from cli 0, frame is 2, time: 113.954966
Task 3, from cli 0, frame is 2, time: 115.349409
Task 5, from cli 0, frame is 2, time: 116.733172
Task 7, from cli 0, frame is 2, time: 119.165156
Task 9, from cli 0, frame is 2, time: 119.442168
Task 11, from cli 0, frame is 2, time: 121.904902
Task 13, from cli 0, frame is 2, time: 124.356814
Task 15, from cli 0, frame is 2, time: 126.397829
Task 21, from cli 0, frame is 2, time: 127.723843
Task 23, from cli 0, frame is 2, time: 127.994278
